title,authors,narrators
Mycroft and Sherlock,"['Kareem Abdul-Jabbar', 'Anna Waterhouse']",['Damian Lynch']
"Harry Bosch Box Set: 'The Narrows', 'Echo Park', and 'The Overlook'",['Michael Connelly'],['Len Cariou']
"Citizens of London: The Americans Who Stood with Britain in Its Darkest, Finest Hour",['Lynne Olson'],['Arthur Morey']
The Couple Next Door: A Novel,['Shari Lapena'],['Kirsten Potter']
Those Who Forget,['Geraldine Schwarz'],['Kathe Mazur']
"The Wrong Side of Goodbye: Harry Bosch, Book 19",['Michael Connelly'],['Titus Welliver']
The One Man: A Novel,['Andrew Gross'],['Edoardo Ballerini']
The Greatest Show on Earth: The Evidence for Evolution,['Richard Dawkins'],"['Richard Dawkins', 'Lalla Ward']"
Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,['Sean Carroll'],['Sean Carroll']
The Warmth of Other Suns: The Epic Story of America's Great Migration,['Isabel Wilkerson'],['Robin Miles']
The Black Swan of Paris: A WWII Novel,['Karen Robards'],['Nancy Peterson']
Between the World and Me,['Ta-Nehisi Coates'],['Ta-Nehisi Coates']
Agent Running in the Field: A Novel,['John le Carr�'],['John le Carr�']
"The Crossing: Harry Bosch, Book 18",['Michael Connelly'],['Titus Welliver']
The Order: A Novel,['Daniel Silva'],['George Guidall']
The Selfish Gene,['Richard Dawkins'],"['Richard Dawkins', 'Lalla Ward']"
Reaganland: America's Right Turn 1976-1980,['Rick Perlstein'],"['Samantha Desz', 'Jonathan Todd Ross', 'Jacques Roy', 'Gabra Zackman']"
The Math of Life and Death,['Kit Yates'],['Kit Yates']
The Man in the Brown Suit,['Agatha Christie'],"['Nicola Barber', 'Graeme Malcolm']"
"Blood, Toil, Tears, and Sweat",['John Lukacs'],['John Lee']
American Dialogue: The Founders and Us,['Joseph J. Ellis'],['Arthur Morey']
Love and Death Among the Cheetahs,['Rhys Bowen'],['Jasmine Blackborow']
Glass Houses: A Novel,['Louise Penny'],['Robert Bathurst']
"The Kept Woman: Will Trent, Book 8",['Karin Slaughter'],['Kathleen Early']
The Great Train Robbery,['Michael Crichton'],['Michael Kitchen']
Queen of Hearts,['Rhys Bowen'],['Katherine Kellgren']
The Valley of Amazement,['Amy Tan'],"['Nancy Wu', 'Joyce Bean', 'Amy Tan']"
"Into the Fire: An Orphan X Novel (Evan Smoak, Book 5)",['Gregg Hurwitz'],['Scott Brick']
"Five Days in London, May 1940",['John Lukacs'],['Geoffrey Howard']
"The Boy from the Woods: Wilde, Book 1",['Harlan Coben'],['Steven Weber']
The Idiot,['Fyodor Dostoyevsky'],['Constantine Gregory']
The Anarchy: The Relentless Rise of the East India Company,['William Dalrymple'],['Sid Sagar']
Faithful Place: A Novel,['Tana French'],['Tim Gerard Reynolds']
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",['Erik Larson'],"['John Lee', 'Erik Larson']"
The Steel Kiss,['Jeffery Deaver'],['Edoardo Ballerini']
"Two Kinds of Truth: New subtitle: Harry Bosch, Book 20",['Michael Connelly'],['Titus Welliver']
Close Up,['Amanda Quick'],['Morgan Hallett']
"Dealing with the Devil: My Mother, Trump, and Me",['Tony Schwartz'],['Tony Schwartz']
The Big Questions of Philosophy,"['David K. Johnson', 'The Great Courses']",['David K. Johnson']
The Paladin,['David Ignatius'],['George Guidall']
Station Eleven (Television Tie-in): A Novel,['Emily St. John Mandel'],['Kirsten Potter']
Evil Geniuses: The Unmaking of America: A Recent History,['Kurt Andersen'],['Kurt Andersen']
Twilight of Democracy: The Seductive Lure of Authoritarianism,['Anne Applebaum'],['Anne Applebaum']
"Celtic Mythology: Tales of Gods, Goddesses, and Heroes",['Philip Freeman'],['Gerard Doyle']
Crowned and Dangerous,['Rhys Bowen'],['Katherine Kellgren']
A Memory of Violets: A Novel of London's Flower Sellers,['Hazel Gaynor'],['Nicola Barber']
The Ice Queen,['Nele Neuhaus'],['Robert Fass']
Malice at the Palace,['Rhys Bowen'],['Katherine Kellgren']
Humankind: A Hopeful History,"['Rutger Bregman', 'Erica Moore', 'Elizabeth Manton']","['Rutger Bregman', 'Thomas Judd']"
"A Litter of Bones: A Scottish Crime Thriller: DCI Logan Crime Thrillers, Book 1",['JD Kirk'],['Angus King']
